step,time_min,target_demand,total_h2_output,total_energy_kwh,h2_concentration,cooling_water_temp,ventilation_active,esd_active,fire_alarm_active,cell1_state,cell1_load_ratio,cell1_h2_output,cell1_power,cell1_current,cell1_electrolyte_temp,cell1_run_time,cell2_state,cell2_load_ratio,cell2_h2_output,cell2_power,cell2_current,cell2_electrolyte_temp,cell2_run_time,cell3_state,cell3_load_ratio,cell3_h2_output,cell3_power,cell3_current,cell3_electrolyte_temp,cell3_run_time,tank1_pressure,tank1_fill_rate,tank1_is_filling,tank1_is_relieving,tank2_pressure,tank2_fill_rate,tank2_is_filling,tank2_is_relieving,tank3_pressure,tank3_fill_rate,tank3_is_filling,tank3_is_relieving,tank4_pressure,tank4_fill_rate,tank4_is_filling,tank4_is_relieving,pump1_state,pump1_flow_rate,pump2_state,pump2_flow_rate
1,1,800.0,0.0,0.0,0.0,24.8,False,False,False,n2_purge,0.0,0.0,0.0,0.0,25.0,0,n2_purge,0.0,0.0,0.0,0.0,25.0,0,stopped,0.0,0.0,0.0,0.0,25.0,0,15.0,0.0,False,False,20.0,0.0,False,False,25.0,0.0,False,False,30.0,0.0,False,False,active,1.0,standby,0.0
2,2,800.0,0.0,0.0,0.0,24.62,False,False,False,n2_purge,0.0,0.0,0.0,0.0,24.99,0,n2_purge,0.0,0.0,0.0,0.0,24.99,0,stopped,0.0,0.0,0.0,0.0,24.99,0,15.0,0.0,False,False,20.0,0.0,False,False,25.0,0.0,False,False,30.0,0.0,False,False,active,1.0,standby,0.0
3,3,800.0,0.0,0.0,0.0,24.458000000000002,False,False,False,n2_purge,0.0,0.0,0.0,0.0,24.9715,0,n2_purge,0.0,0.0,0.0,0.0,24.9715,0,stopped,0.0,0.0,0.0,0.0,24.9715,0,15.0,0.0,False,False,20.0,0.0,False,False,25.0,0.0,False,False,30.0,0.0,False,False,active,1.0,standby,0.0
4,4,800.0,0.0,0.0,0.0,24.3122,False,False,False,n2_purge,0.0,0.0,0.0,0.0,24.945825,0,n2_purge,0.0,0.0,0.0,0.0,24.945825,0,stopped,0.0,0.0,0.0,0.0,24.945825,0,15.0,0.0,False,False,20.0,0.0,False,False,25.0,0.0,False,False,30.0,0.0,False,False,active,1.0,standby,0.0
5,5,800.0,0.0,0.0,0.0,24.18098,False,False,False,warmup,0.0,0.0,0.0,0.0,24.91414375,0,warmup,0.0,0.0,0.0,0.0,24.91414375,0,stopped,0.0,0.0,0.0,0.0,24.91414375,0,15.0,0.0,False,False,20.0,0.0,False,False,25.0,0.0,False,False,30.0,0.0,False,False,active,1.0,standby,0.0
6,6,800.0,0.0,0.0,0.0,24.062882000000002,False,False,False,warmup,0.0,0.0,0.0,0.0,24.877485562500002,0,warmup,0.0,0.0,0.0,0.0,24.877485562500002,0,stopped,0.0,0.0,0.0,0.0,24.877485562500002,0,15.0,0.0,False,False,20.0,0.0,False,False,25.0,0.0,False,False,30.0,0.0,False,False,active,1.0,standby,0.0
7,7,800.0,0.0,0.0,0.0,23.9565938,False,False,False,warmup,0.0,0.0,0.0,0.0,24.836755384375003,0,warmup,0.0,0.0,0.0,0.0,24.836755384375003,0,stopped,0.0,0.0,0.0,0.0,24.836755384375003,0,15.0,0.0,False,False,20.0,0.0,False,False,25.0,0.0,False,False,30.0,0.0,False,False,active,1.0,standby,0.0
8,8,800.0,0.0,0.0,0.0,23.86093442,False,False,False,warmup,0.0,0.0,0.0,0.0,24.792747305156254,0,warmup,0.0,0.0,0.0,0.0,24.792747305156254,0,stopped,0.0,0.0,0.0,0.0,24.792747305156254,0,15.0,0.0,False,False,20.0,0.0,False,False,25.0,0.0,False,False,30.0,0.0,False,False,active,1.0,standby,0.0
9,9,800.0,0.0,0.0,0.0,23.774840978,False,False,False,warmup,0.0,0.0,0.0,0.0,24.746156660898443,0,warmup,0.0,0.0,0.0,0.0,24.746156660898443,0,stopped,0.0,0.0,0.0,0.0,24.746156660898443,0,15.0,0.0,False,False,20.0,0.0,False,False,25.0,0.0,False,False,30.0,0.0,False,False,active,1.0,standby,0.0
10,10,800.0,0.0,0.0,0.0,23.6973568802,False,False,False,warmup,0.0,0.0,0.0,0.0,24.69759087675352,0,warmup,0.0,0.0,0.0,0.0,24.69759087675352,0,stopped,0.0,0.0,0.0,0.0,24.69759087675352,0,15.0,0.0,False,False,20.0,0.0,False,False,25.0,0.0,False,False,30.0,0.0,False,False,active,1.0,standby,0.0
